"name","url","datasets","updated"
"Open Data Ville de Bruxelles","opendata.bruxelles.be",540,"2017-7-13"
"SNCF Open Data","ressources.data.sncf.com",202,"2017-8-25"
"Open Data Hauts-de-Seine","opendata.hauts-de-seine.fr",136,"2017-8-1"
"Ministère de la Culture et Communication","data.culturecommunication.gouv.fr",40,"2017-8-4"
"OPENDATACORSICA","data.corse.fr",215,"2017-7-24"
"Town of Cary Open Data","data.townofcary.org",36,"2017-3-27"
"Lagabrielle","lagabrielle.opendatasoft.com",3,"2016-2-29"
"Demo portal using Gold Coast open data","goldcoast.opendatasoft.com",18,"2015-12-2"
"data.infolocale.fr","datainfolocale.opendatasoft.com",5,"2017-1-29"
"Bistrotdepays","b2p.opendatasoft.com",4,"2015-12-2"
"Pod","pod.opendatasoft.com",8,"2013-12-21"
"DILA","visualisation.dila.fr",20,"2017-1-19"
"INSEE OpenData","insee.opendatasoft.com",4,"2016-3-17"
"Public-us","public-us.opendatasoft.com",117,"2016-10-4"
"GRTgaz","opendata.grtgaz.com",8,"2017-4-14"
"Ciudadesabiertas","ciudadesabiertas.opendatasoft.com",23,"2017-8-17"
"Porto-Vecchio Opendata Corsica","porto-vecchio.opendatasoft.com",3,"2017-1-15"
"Innovateva","innovateva.opendatasoft.com",12,"2016-8-26"
"dataNOVA par Le Groupe La Poste","datanova.laposte.fr",67,"2017-1-4"
"Open Globe Project","4globaldevelop.opendatasoft.com",4,"2015-9-8"
"data.sarthe.fr","data.sarthe.fr",35,"2017-5-16"
"Demo portal - Logan City Open Data","logan-city.opendatasoft.com",6,"2015-10-19"
"Cschoenfeld","cschoenfeld.opendatasoft.com",9,"2017-5-29"
"Cap-collectif","cap-collectif.opendatasoft.com",38,"2017-1-18"
"Chapel Hill Open Data","www.chapelhillopendata.org",49,"2017-6-26"
"Vbarbaresi","vbarbaresi.opendatasoft.com",9,"2017-4-12"
"Boston Smartcity","boston.opendatasoft.com",75,"2017-7-25"
"Data.StMalo-Agglomération","data.stmalo-agglomeration.fr",84,"2017-8-11"
"Roubaix Open Data","opendata.roubaix.fr",53,"2017-8-1"
"Les données ouvertes de la Métropole Européenne de Lille","opendata.lillemetropole.fr",143,"2017-8-17"
"Open Data Toulouse Metropole","data.toulouse-metropole.fr",273,"2017-8-18"
"Open data STIF","opendata.stif.info",38,"2017-8-17"
"Groupe BPCE OpenData","bpce.opendatasoft.com",26,"2017-6-12"
"Plateforme open data de la Région Île-de-France","data.iledefrance.fr",752,"2017-8-8"
"Office for National Statistics","ons-public.opendatasoft.com",861,"2017-5-10"
"Portail Open Data Agen","data.agen.fr",57,"2017-4-21"
"Portail OpenData de l'Agence nationale des fréquences","observatoire.anfr.fr",17,"2017-6-15"
"Paris Data","opendata.paris.fr",214,"2017-7-25"
"PORTAIL OPEN DATA PARIS-SACLAY","opendata.paris-saclay.com",96,"2017-7-12"
"Rennes-metropole","data.rennesmetropole.fr",221,"2017-7-24"
"OpenDataHG","data.haute-garonne.fr",60,"2017-8-7"
"Saemes OpenData","opendata.saemes.fr",10,"2017-8-24"
"Enseignement-agricole","enseignement-agricole.opendatasoft.com",27,"2017-7-24"
"My Breizh Open Data","breizh-sba.opendatasoft.com",14,"2016-5-4"
"SBB DATEN PORTAL","data.sbb.ch",60,"2017-8-18"
"Mannheim","mannheim.opendatasoft.com",16,"2017-4-28"
"STAR Data Explore","data.explore.star.fr",37,"2017-5-24"
"Open Data RATP","dataratp2.opendatasoft.com",22,"2017-8-16"
"Y4pt","y4pt.opendatasoft.com",200,"2017-4-4"
"Nterpolilli","nterpolilli.opendatasoft.com",15,"2017-5-6"
"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation","data.enseignementsup-recherche.gouv.fr",73,"2017-8-21"
"Dataeducation","data.education.gouv.fr",28,"2017-7-11"
"Afnic","afnic.opendatasoft.com",9,"2017-5-26"
"Public","public.opendatasoft.com",1444,"2017-8-21"
"Issy-les-moulineaux","data.issy.com",153,"2017-8-24"
"Öppna Växjö","vaxjo.opendatasoft.com",20,"2016-10-20"
"Transparência","transparencia.sns.gov.pt",126,"2017-7-26"
"Angers Loire Métropole - Open Data","data.angers.fr",91,"2017-8-11"
"Deciderensemble","deciderensemble.opendatasoft.com",5,"2016-3-18"
"OPEN DATA RTE","rte-opendata.opendatasoft.com",42,"2017-8-24"
"Infocom94","data.infocom94.fr",34,"2017-6-20"
"Waketechanalytics","waketechanalytics.opendatasoft.com",4,"2016-1-24"
"Data Nicaragua","fundenic.opendatasoft.com",1,"2017-4-5"
"Code for Cary OpenDataSoft Portal","codeforcary.opendatasoft.com",15,"2015-12-20"
"Codeforcharlotte","codeforcharlotte.opendatasoft.com",4,"2015-10-22"
"Code the South Data Repository","codeforhuntsville.opendatasoft.com",8,"2015-8-26"
"Codeforgreensboro","codeforgreensboro.opendatasoft.com",4,"2015-11-7"
"Code for Durham","codefordurham.opendatasoft.com",4,"2016-6-8"
"Codeforraleigh","codeforraleigh.opendatasoft.com",15,"2015-12-16"
"Code for Croatia Data Portal","codeforcroatia.opendatasoft.com",2,"2017-3-5"
"Code for Princeton Data Portal","codeforprinceton.opendatasoft.com",1,"2015-10-23"
"Tourisme62","tourisme62.opendatasoft.com",44,"2017-6-16"
"Open Data Bristol","opendata.bristol.gov.uk",78,"2017-8-25"
"Icann","icann.opendatasoft.com",10,"2017-6-28"
"Statistiques SDES","data.statistiques.developpement-durable.gouv.fr",15,"2017-6-21"
"Interconnectés","interco-hubvisory.opendatasoft.com",3,"2017-6-21"
"ENEDIS Open Data","data.enedis.fr",16,"2017-7-28"
"Datum4services","desidedatum.datum4services.com",1,"2017-6-21"
"API-AGRO","plateforme.api-agro.fr",46,"2017-7-5"
"OPEN DATA RESEAUX-ENERGIES","opendata.reseaux-energies.fr",9,"2017-8-8"
"Région académique de Normandie","ra-normandie-dataeducation.opendatasoft.com",13,"2017-6-28"
"Data infogreffe","opendata-infogreffe.com",28,"2016-8-22"
"Grand Poitiers Open Data","data.grandpoitiers.fr",154,"2017-6-8"
"Accessnc","opendata.nccommerce.com",77,"2017-8-21"
"Megalisbretagne","megalisbretagne.opendatasoft.com",2,"2017-5-30"
"Durham Open Data","opendurham.nc.gov",143,"2017-8-8"
"Datastro","lguerriero.opendatasoft.com",28,"2017-8-21"
"EDF Corse","opendata-corse.edf.fr",5,"2017-7-17"
"EDF Réunion","opendata-reunion.edf.fr",5,"2017-8-11"
"EDF Guadeloupe","opendata-guadeloupe.edf.fr",4,"2017-8-11"
"EDF Martinique","opendata-martinique.edf.fr",5,"2017-7-17"
"EDF  Corse et Outre-mer","opendata-corse-outremer.edf.fr",5,"2017-8-11"
"Jérémy Autran's domain","jautran.opendatasoft.com",7,"2017-6-7"
"Engie France Renewable Energy open data site","opendata-renewables.engie.com",5,"2017-6-6"
"Liseguerriero","liseguerriero.opendatasoft.com",1,"2017-7-28"
"Code for Tulsa","codefortulsa.opendatasoft.com",15,"2015-10-9"
"Bogota-laburbano","bogota-laburbano.opendatasoft.com",146,"2017-7-27"
"EDF Guyane","opendata-guyane.edf.fr",4,"2017-8-11"
"KAPSARC Data Portal","datasource.kapsarc.org",879,"2017-8-28"
"JD OpenData","jdelbourgo.opendatasoft.com",14,"2017-5-17"
"Mobilité Gaz OpenData","gnv-grtgaz.opendatasoft.com",1,"2017-5-9"
"E-agre","e-agre.opendatasoft.com",1,"2016-12-2"
"data.navitia","navitia.opendatasoft.com",35,"2017-2-13"
"Open Data","opendata.grdf.fr",7,"2017-8-7"
"CrocBITE Data Platform","crocbite.opendatasoft.com",2,"2015-9-5"
"data.total","data.total",2,"2017-1-13"
"Julien","ods.kwet.org",1,"2017-3-31"
"Yannc","yannc.my.opendatasoft.com",1,"2017-3-19"
"M2oconnect","m2oconnect.opendatasoft.com",1,"2014-6-16"
"Dgal","dgal.opendatasoft.com",1,"2016-8-25"
